State,District,Market,Commodity,Variety,Grade,Arrival_Date,Year,Month,Day,Season,Rainfall_mm,Temperature_C,Humidity_percent,Min_Price,Max_Price,Modal_Price
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,01/02/2026,2026,2,1,Winter,12.9,18.2,43.7,4034.2,4165.0,4109.9
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,01/03/2026,2026,3,1,Summer,11.5,22.5,50.0,4629.7,4810.9,4725.3
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,02/08/2026,2026,8,2,Monsoon,113.4,32.9,60.7,5568.3,5952.2,5777.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,02/11/2025,2025,11,2,Post-Monsoon,73.7,23.4,65.0,4224.5,4539.3,4351.9
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,03/05/2026,2026,5,3,Summer,19.5,31.3,45.9,4784.7,4916.6,4866.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,04/01/2026,2026,1,4,Winter,14.6,18.1,50.0,3819.3,4044.2,3918.9
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,05/04/2026,2026,4,5,Summer,8.3,28.3,43.4,4525.9,4880.5,4708.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,05/07/2026,2026,7,5,Monsoon,215.2,33.0,80.5,6257.1,6536.1,6435.4
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,05/10/2025,2025,10,5,Post-Monsoon,26.3,27.6,45.2,4014.2,4237.1,4109.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,06/09/2026,2026,9,6,Monsoon,169.3,31.7,74.5,5978.1,6204.9,6081.5
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,07/06/2026,2026,6,7,Monsoon,134.4,35.2,63.8,5747.8,5908.5,5815.3
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,07/12/2025,2025,12,7,Winter,3.2,21.6,39.3,3743.9,3902.4,3828.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,08/02/2026,2026,2,8,Winter,13.2,21.2,50.2,4003.1,4191.8,4069.0
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,08/03/2026,2026,3,8,Summer,8.7,21.4,50.1,4786.4,5073.7,4937.5
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,09/08/2026,2026,8,9,Monsoon,127.8,29.2,67.0,5981.6,6272.1,6088.2
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,09/11/2025,2025,11,9,Post-Monsoon,21.1,23.9,50.4,4354.9,4554.9,4451.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,10/05/2026,2026,5,10,Summer,15.9,29.8,44.5,4836.3,5019.8,4919.7
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,11/01/2026,2026,1,11,Winter,19.6,19.6,48.9,3798.8,3947.1,3882.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,12/04/2026,2026,4,12,Summer,8.0,27.9,51.5,4748.8,5009.4,4852.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,12/07/2026,2026,7,12,Monsoon,235.1,35.8,82.3,6408.8,6574.3,6508.5
